REPORTE DE ANÁLISIS LÉXICO SIMPLE
==================================
Fecha: 9/20/2025, 5:46:08 PM
Archivo: lexico_entry3.txt

TOKENS ENCONTRADOS
==================
No. | Texto         | Tipo             | Línea | Columna
199 | "Guerreros"   | Texto            |    36 |      14
200 | "Titanes"     | Texto            |    36 |      29
201 | [             | Símbolo          |    36 |      39
202 | resultado     | Palabra Normal   |    36 |      40
203 | :             | Símbolo          |    36 |      49
204 | "1-0"         | Texto            |    36 |      51
205 | ]             | Símbolo          |    36 |      56
206 | ,             | Símbolo          |    36 |      57
207 | partido       | Palabra Normal   |    37 |       5
208 | :             | Símbolo          |    37 |      12
209 | "Estrellas"   | Texto            |    37 |      14
210 | "Relámpagos"  | Texto            |    37 |      29
211 | [             | Símbolo          |    37 |      42
212 | resultado     | Palabra Normal   |    37 |      43
213 | :             | Símbolo          |    37 |      52
214 | "2-2"         | Texto            |    37 |      54
215 | ]             | Símbolo          |    37 |      59
216 | ,             | Símbolo          |    37 |      60
217 | partido       | Palabra Normal   |    38 |       5
218 | :             | Símbolo          |    38 |      12
219 | "Centauros"   | Texto            |    38 |      14
220 | "Pumas"       | Texto            |    38 |      29
221 | [             | Símbolo          |    38 |      37
222 | resultado     | Palabra Normal   |    38 |      38
223 | :             | Símbolo          |    38 |      47
224 | "0-3"         | Texto            |    38 |      49
225 | ]             | Símbolo          |    38 |      54
226 | ,             | Símbolo          |    38 |      55
227 | partido       | Palabra Normal   |    39 |       5
228 | :             | Símbolo          |    39 |      12
229 | "Águilas"     | Texto            |    39 |      14
230 | "Lobos"       | Texto            |    39 |      27
231 | [             | Símbolo          |    39 |      35
232 | resultado     | Palabra Normal   |    39 |      36
233 | :             | Símbolo          |    39 |      45
234 | "3-1"         | Texto            |    39 |      47
235 | ]             | Símbolo          |    39 |      52
236 | ]             | Símbolo          |    40 |       3
237 | ,             | Símbolo          |    40 |       4
238 | :             | Símbolo          |    41 |      12
239 | [             | Símbolo          |    41 |      14
240 | partido       | Palabra Normal   |    42 |       5
241 | :             | Símbolo          |    42 |      12
242 | "Guerreros"   | Texto            |    42 |      14
243 | "Estrellas"   | Texto            |    42 |      29
244 | [             | Símbolo          |    42 |      41
245 | resultado     | Palabra Normal   |    42 |      42
246 | :             | Símbolo          |    42 |      51
247 | "2-1"         | Texto            |    42 |      53
248 | ]             | Símbolo          |    42 |      58
249 | ,             | Símbolo          |    42 |      59
250 | partido       | Palabra Normal   |    43 |       5
251 | :             | Símbolo          |    43 |      12
252 | "Pumas"       | Texto            |    43 |      14
253 | "Águilas"     | Texto            |    43 |      25
254 | [             | Símbolo          |    43 |      35
255 | resultado     | Palabra Normal   |    43 |      36
256 | :             | Símbolo          |    43 |      45
257 | "1-1"         | Texto            |    43 |      47
258 | ]             | Símbolo          |    43 |      52
259 | ]             | Símbolo          |    44 |       3
260 | ,             | Símbolo          |    44 |       4
261 | final         | Palabra Reservada |    45 |       3
262 | :             | Símbolo          |    45 |       8
263 | [             | Símbolo          |    45 |      10
264 | partido       | Palabra Normal   |    46 |       5
265 | :             | Símbolo          |    46 |      12
266 | "Guerreros"   | Texto            |    46 |      14
267 | "Pumas"       | Texto            |    46 |      29
268 | [             | Símbolo          |    46 |      37
269 | resultado     | Palabra Normal   |    46 |      38
270 | :             | Símbolo          |    46 |      47
271 | "Pendiente"   | Texto            |    46 |      49
272 | ]             | Símbolo          |    46 |      60
273 | ]             | Símbolo          |    47 |       3
274 | }             | Símbolo          |    48 |       1

Total de tokens: 274

ERRORES ENCONTRADOS
===================
No. | Carácter | Problema        | Línea | Columna
--------------------------------------------------
  1 | equipos  | Palabra desconocida |     3 |      10
  2 | vs       | Palabra desconocida |    36 |      28
  3 | vs       | Palabra desconocida |    37 |      28
  4 | vs       | Palabra desconocida |    38 |      28
  5 | vs       | Palabra desconocida |    39 |      26
  6 | semifinal | Palabra desconocida |    41 |      12
  7 | vs       | Palabra desconocida |    42 |      28
  8 | vs       | Palabra desconocida |    43 |      24
  9 | vs       | Palabra desconocida |    46 |      28

Total de errores: 9
