REPORTE DE ANÁLISIS LÉXICO SIMPLE
==================================
Fecha: 9/20/2025, 5:42:18 PM
Archivo: lexico_entry1.txt

TOKENS ENCONTRADOS
==================
No. | Texto         | Tipo             | Línea | Columna
198 | [             | Símbolo          |    29 |      43
199 | resultado     | Palabra Normal   |    30 |       7
200 | :             | Símbolo          |    30 |      16
201 | "3-1"         | Texto            |    30 |      18
202 | ,             | Símbolo          |    30 |      23
203 | :             | Símbolo          |    31 |      17
204 | [             | Símbolo          |    31 |      19
205 | goleador      | Palabra Normal   |    32 |       9
206 | :             | Símbolo          |    32 |      17
207 | "Pedro Martínez" | Texto            |    32 |      19
208 | [             | Símbolo          |    32 |      36
209 | minuto        | Palabra Normal   |    32 |      37
210 | :             | Símbolo          |    32 |      43
211 | 15            | Número           |    32 |      45
212 | ]             | Símbolo          |    32 |      47
213 | ,             | Símbolo          |    32 |      48
214 | goleador      | Palabra Normal   |    33 |       9
215 | :             | Símbolo          |    33 |      17
216 | "Pedro Martínez" | Texto            |    33 |      19
217 | [             | Símbolo          |    33 |      36
218 | minuto        | Palabra Normal   |    33 |      37
219 | :             | Símbolo          |    33 |      43
220 | 45            | Número           |    33 |      45
221 | ]             | Símbolo          |    33 |      47
222 | ,             | Símbolo          |    33 |      48
223 | goleador      | Palabra Normal   |    34 |       9
224 | :             | Símbolo          |    34 |      17
225 | "Valeria Cruz" | Texto            |    34 |      19
226 | [             | Símbolo          |    34 |      34
227 | minuto        | Palabra Normal   |    34 |      35
228 | :             | Símbolo          |    34 |      41
229 | 67            | Número           |    34 |      43
230 | ]             | Símbolo          |    34 |      45
231 | ]             | Símbolo          |    35 |       7
232 | ]             | Símbolo          |    36 |       5
233 | ,             | Símbolo          |    36 |       6
234 | partido       | Palabra Normal   |    37 |       5
235 | :             | Símbolo          |    37 |      12
236 | "Águilas United" | Texto            |    37 |      14
237 | "Tigres Academy" | Texto            |    37 |      34
238 | [             | Símbolo          |    37 |      51
239 | resultado     | Palabra Normal   |    38 |       7
240 | :             | Símbolo          |    38 |      16
241 | "2-0"         | Texto            |    38 |      18
242 | ,             | Símbolo          |    38 |      23
243 | :             | Símbolo          |    39 |      17
244 | [             | Símbolo          |    39 |      19
245 | goleador      | Palabra Normal   |    40 |       9
246 | :             | Símbolo          |    40 |      17
247 | "Diego Ramírez" | Texto            |    40 |      19
248 | [             | Símbolo          |    40 |      35
249 | minuto        | Palabra Normal   |    40 |      36
250 | :             | Símbolo          |    40 |      42
251 | 22            | Número           |    40 |      44
252 | ]             | Símbolo          |    40 |      46
253 | ,             | Símbolo          |    40 |      47
254 | goleador      | Palabra Normal   |    41 |       9
255 | :             | Símbolo          |    41 |      17
256 | "Sofía Hernández" | Texto            |    41 |      19
257 | [             | Símbolo          |    41 |      37
258 | minuto        | Palabra Normal   |    41 |      38
259 | :             | Símbolo          |    41 |      44
260 | 75            | Número           |    41 |      46
261 | ]             | Símbolo          |    41 |      48
262 | ]             | Símbolo          |    42 |       7
263 | ]             | Símbolo          |    43 |       5
264 | ]             | Símbolo          |    44 |       3
265 | ,             | Símbolo          |    44 |       4
266 | :             | Símbolo          |    45 |      12
267 | [             | Símbolo          |    45 |      14
268 | partido       | Palabra Normal   |    46 |       5
269 | :             | Símbolo          |    46 |      12
270 | "Leones FC"   | Texto            |    46 |      14
271 | "Águilas United" | Texto            |    46 |      29
272 | [             | Símbolo          |    46 |      46
273 | resultado     | Palabra Normal   |    47 |       7
274 | :             | Símbolo          |    47 |      16
275 | "1-0"         | Texto            |    47 |      18
276 | ,             | Símbolo          |    47 |      23
277 | :             | Símbolo          |    48 |      17
278 | [             | Símbolo          |    48 |      19
279 | goleador      | Palabra Normal   |    49 |       9
280 | :             | Símbolo          |    49 |      17
281 | "Mario López" | Texto            |    49 |      19
282 | [             | Símbolo          |    49 |      33
283 | minuto        | Palabra Normal   |    49 |      34
284 | :             | Símbolo          |    49 |      40
285 | 34            | Número           |    49 |      42
286 | ]             | Símbolo          |    49 |      44
287 | ]             | Símbolo          |    50 |       7
288 | ]             | Símbolo          |    51 |       5
289 | ]             | Símbolo          |    52 |       3
290 | ,             | Símbolo          |    52 |       4
291 | final         | Palabra Reservada |    53 |       3
292 | :             | Símbolo          |    53 |       8
293 | [             | Símbolo          |    53 |      10
294 | partido       | Palabra Normal   |    54 |       5
295 | :             | Símbolo          |    54 |      12
296 | "Leones FC"   | Texto            |    54 |      14
297 | "TBD"         | Texto            |    54 |      29
298 | [             | Símbolo          |    54 |      35
299 | resultado     | Palabra Normal   |    55 |       7
300 | :             | Símbolo          |    55 |      16
301 | "Pendiente"   | Texto            |    55 |      18
302 | ]             | Símbolo          |    56 |       5
303 | ]             | Símbolo          |    57 |       3
304 | }             | Símbolo          |    58 |       1

Total de tokens: 304

ERRORES ENCONTRADOS
===================
No. | Carácter | Problema        | Línea | Columna
--------------------------------------------------
  1 | equipos  | Palabra desconocida |     3 |      10
  2 | vs       | Palabra desconocida |    29 |      28
  3 | goleadores | Palabra desconocida |    31 |      17
  4 | vs       | Palabra desconocida |    37 |      33
  5 | goleadores | Palabra desconocida |    39 |      17
  6 | semifinal | Palabra desconocida |    45 |      12
  7 | vs       | Palabra desconocida |    46 |      28
  8 | goleadores | Palabra desconocida |    48 |      17
  9 | vs       | Palabra desconocida |    54 |      28

Total de errores: 9
