REPORTE DE ANÁLISIS LÉXICO SIMPLE
==================================
Fecha: 9/20/2025, 5:44:08 PM
Archivo: lexico_entry5.txt

TOKENS ENCONTRADOS
==================
No. | Texto         | Tipo             | Línea | Columna
198 | 6             | Número           |    24 |      62
199 | ,             | Símbolo          |    24 |      63
200 | edad          | Palabra Normal   |    24 |      65
201 | :             | Símbolo          |    24 |      69
202 | 22            | Número           |    24 |      71
203 | ]             | Símbolo          |    24 |      73
204 | ]             | Símbolo          |    25 |       3
205 | }             | Símbolo          |    26 |       1
206 | ELIMINACION   | Palabra Reservada |    28 |       1
207 | {             | Símbolo          |    28 |      13
208 | cuartos       | Palabra Reservada |    29 |       3
209 | :             | Símbolo          |    29 |      10
210 | [             | Símbolo          |    29 |      12
211 | partido       | Palabra Normal   |    30 |       5
212 | :             | Símbolo          |    30 |      12
213 | "Leones Dorados" | Texto            |    30 |      14
214 | "Tiburones Azules" | Texto            |    30 |      34
215 | [             | Símbolo          |    30 |      53
216 | resultado     | Palabra Normal   |    31 |       7
217 | :             | Símbolo          |    31 |      16
218 | "2-2"         | Texto            |    31 |      18
219 | ,             | Símbolo          |    31 |      23
220 | :             | Símbolo          |    32 |      17
221 | [             | Símbolo          |    32 |      19
222 | goleador      | Palabra Normal   |    33 |       9
223 | :             | Símbolo          |    33 |      17
224 | "Cristian Morales" | Texto            |    33 |      19
225 | [             | Símbolo          |    33 |      38
226 | minuto        | Palabra Normal   |    33 |      39
227 | :             | Símbolo          |    33 |      45
228 | 12            | Número           |    33 |      47
229 | ]             | Símbolo          |    33 |      49
230 | ,             | Símbolo          |    33 |      50
231 | goleador      | Palabra Normal   |    34 |       9
232 | :             | Símbolo          |    34 |      17
233 | "Daniel Pérez" | Texto            |    34 |      19
234 | [             | Símbolo          |    34 |      34
235 | minuto        | Palabra Normal   |    34 |      35
236 | :             | Símbolo          |    34 |      41
237 | 30            | Número           |    34 |      43
238 | ]             | Símbolo          |    34 |      45
239 | ,             | Símbolo          |    34 |      46
240 | goleador      | Palabra Normal   |    35 |       9
241 | :             | Símbolo          |    35 |      17
242 | "Alejandro Ruiz" | Texto            |    35 |      19
243 | [             | Símbolo          |    35 |      36
244 | minuto        | Palabra Normal   |    35 |      37
245 | :             | Símbolo          |    35 |      43
246 | 60            | Número           |    35 |      45
247 | ]             | Símbolo          |    35 |      47
248 | ,             | Símbolo          |    35 |      48
249 | goleador      | Palabra Normal   |    36 |       9
250 | :             | Símbolo          |    36 |      17
251 | "Roberto López" | Texto            |    36 |      19
252 | [             | Símbolo          |    36 |      35
253 | minuto        | Palabra Normal   |    36 |      36
254 | :             | Símbolo          |    36 |      42
255 | 78            | Número           |    36 |      44
256 | ]             | Símbolo          |    36 |      46
257 | ]             | Símbolo          |    37 |       7
258 | ]             | Símbolo          |    38 |       5
259 | ,             | Símbolo          |    38 |       6
260 | partido       | Palabra Normal   |    39 |       5
261 | :             | Símbolo          |    39 |      12
262 | "Águilas Negras" | Texto            |    39 |      14
263 | "Pumas Blancos" | Texto            |    39 |      34
264 | [             | Símbolo          |    39 |      50
265 | resultado     | Palabra Normal   |    40 |       7
266 | :             | Símbolo          |    40 |      16
267 | "3-1"         | Texto            |    40 |      18
268 | ,             | Símbolo          |    40 |      23
269 | :             | Símbolo          |    41 |      17
270 | [             | Símbolo          |    41 |      19
271 | goleador      | Palabra Normal   |    42 |       9
272 | :             | Símbolo          |    42 |      17
273 | "Javier Gómez" | Texto            |    42 |      19
274 | [             | Símbolo          |    42 |      34
275 | minuto        | Palabra Normal   |    42 |      35
276 | :             | Símbolo          |    42 |      41
277 | 15            | Número           |    42 |      43
278 | ]             | Símbolo          |    42 |      45
279 | ,             | Símbolo          |    42 |      46
280 | goleador      | Palabra Normal   |    43 |       9
281 | :             | Símbolo          |    43 |      17
282 | "Oscar Hernández" | Texto            |    43 |      19
283 | [             | Símbolo          |    43 |      37
284 | minuto        | Palabra Normal   |    43 |      38
285 | :             | Símbolo          |    43 |      44
286 | 43            | Número           |    43 |      46
287 | ]             | Símbolo          |    43 |      48
288 | ,             | Símbolo          |    43 |      49
289 | goleador      | Palabra Normal   |    44 |       9
290 | :             | Símbolo          |    44 |      17
291 | "Felipe Díaz" | Texto            |    44 |      19
292 | [             | Símbolo          |    44 |      33
293 | minuto        | Palabra Normal   |    44 |      34
294 | :             | Símbolo          |    44 |      40
295 | 55            | Número           |    44 |      42
296 | ]             | Símbolo          |    44 |      44
297 | ,             | Símbolo          |    44 |      45
298 | goleador      | Palabra Normal   |    45 |       9
299 | :             | Símbolo          |    45 |      17
300 | "Javier Gómez" | Texto            |    45 |      19
301 | [             | Símbolo          |    45 |      34
302 | minuto        | Palabra Normal   |    45 |      35
303 | :             | Símbolo          |    45 |      41
304 | 88            | Número           |    45 |      43
305 | ]             | Símbolo          |    45 |      45
306 | ]             | Símbolo          |    46 |       7
307 | ]             | Símbolo          |    47 |       5
308 | ]             | Símbolo          |    48 |       3
309 | ,             | Símbolo          |    48 |       4
310 | :             | Símbolo          |    49 |      12
311 | [             | Símbolo          |    49 |      14
312 | partido       | Palabra Normal   |    50 |       5
313 | :             | Símbolo          |    50 |      12
314 | "Leones Dorados" | Texto            |    50 |      14
315 | "Águilas Negras" | Texto            |    50 |      34
316 | [             | Símbolo          |    50 |      51
317 | resultado     | Palabra Normal   |    50 |      52
318 | :             | Símbolo          |    50 |      61
319 | "Pendiente"   | Texto            |    50 |      63
320 | ]             | Símbolo          |    50 |      74
321 | ]             | Símbolo          |    51 |       3
322 | }             | Símbolo          |    52 |       1

Total de tokens: 322

ERRORES ENCONTRADOS
===================
No. | Carácter | Problema        | Línea | Columna
--------------------------------------------------
  1 | equipos  | Palabra desconocida |     3 |      10
  2 | vs       | Palabra desconocida |    30 |      33
  3 | goleadores | Palabra desconocida |    32 |      17
  4 | vs       | Palabra desconocida |    39 |      33
  5 | goleadores | Palabra desconocida |    41 |      17
  6 | semifinal | Palabra desconocida |    49 |      12
  7 | vs       | Palabra desconocida |    50 |      33

Total de errores: 7
