REPORTE DE ANÁLISIS LÉXICO SIMPLE
==================================
Fecha: 9/21/2025, 11:33:39 PM
Archivo: lexico_entry5.txt

TOKENS ENCONTRADOS
==================
No. | Texto         | Tipo             | Línea | Columna
197 | numero        | Palabra Normal   |    24 |      54
198 | :             | Símbolo          |    24 |      60
199 | 6             | Número           |    24 |      62
200 | ,             | Símbolo          |    24 |      63
201 | edad          | Palabra Normal   |    24 |      65
202 | :             | Símbolo          |    24 |      69
203 | 22            | Número           |    24 |      71
204 | ]             | Símbolo          |    24 |      73
205 | ]             | Símbolo          |    25 |       3
206 | }             | Símbolo          |    26 |       1
207 | ELIMINACION   | Palabra Reservada |    28 |       1
208 | {             | Símbolo          |    28 |      13
209 | cuartos       | Palabra Reservada |    29 |       3
210 | :             | Símbolo          |    29 |      10
211 | [             | Símbolo          |    29 |      12
212 | partido       | Palabra Normal   |    30 |       5
213 | :             | Símbolo          |    30 |      12
214 | "Leones Dorados" | Texto            |    30 |      14
215 | vs            | Palabra Normal   |    30 |      31
216 | "Tiburones Azules" | Texto            |    30 |      34
217 | [             | Símbolo          |    30 |      53
218 | resultado     | Palabra Normal   |    31 |       7
219 | :             | Símbolo          |    31 |      16
220 | "2-2"         | Texto            |    31 |      18
221 | ,             | Símbolo          |    31 |      23
222 | goleadores    | Palabra Normal   |    32 |       7
223 | :             | Símbolo          |    32 |      17
224 | [             | Símbolo          |    32 |      19
225 | goleador      | Palabra Normal   |    33 |       9
226 | :             | Símbolo          |    33 |      17
227 | "Cristian Morales" | Texto            |    33 |      19
228 | [             | Símbolo          |    33 |      38
229 | minuto        | Palabra Normal   |    33 |      39
230 | :             | Símbolo          |    33 |      45
231 | 12            | Número           |    33 |      47
232 | ]             | Símbolo          |    33 |      49
233 | ,             | Símbolo          |    33 |      50
234 | goleador      | Palabra Normal   |    34 |       9
235 | :             | Símbolo          |    34 |      17
236 | "Daniel Pérez" | Texto            |    34 |      19
237 | [             | Símbolo          |    34 |      34
238 | minuto        | Palabra Normal   |    34 |      35
239 | :             | Símbolo          |    34 |      41
240 | 30            | Número           |    34 |      43
241 | ]             | Símbolo          |    34 |      45
242 | ,             | Símbolo          |    34 |      46
243 | goleador      | Palabra Normal   |    35 |       9
244 | :             | Símbolo          |    35 |      17
245 | "Alejandro Ruiz" | Texto            |    35 |      19
246 | [             | Símbolo          |    35 |      36
247 | minuto        | Palabra Normal   |    35 |      37
248 | :             | Símbolo          |    35 |      43
249 | 60            | Número           |    35 |      45
250 | ]             | Símbolo          |    35 |      47
251 | ,             | Símbolo          |    35 |      48
252 | goleador      | Palabra Normal   |    36 |       9
253 | :             | Símbolo          |    36 |      17
254 | "Roberto López" | Texto            |    36 |      19
255 | [             | Símbolo          |    36 |      35
256 | minuto        | Palabra Normal   |    36 |      36
257 | :             | Símbolo          |    36 |      42
258 | 78            | Número           |    36 |      44
259 | ]             | Símbolo          |    36 |      46
260 | ]             | Símbolo          |    37 |       7
261 | ]             | Símbolo          |    38 |       5
262 | ,             | Símbolo          |    38 |       6
263 | partido       | Palabra Normal   |    39 |       5
264 | :             | Símbolo          |    39 |      12
265 | "Águilas Negras" | Texto            |    39 |      14
266 | vs            | Palabra Normal   |    39 |      31
267 | "Pumas Blancos" | Texto            |    39 |      34
268 | [             | Símbolo          |    39 |      50
269 | resultado     | Palabra Normal   |    40 |       7
270 | :             | Símbolo          |    40 |      16
271 | "3-1"         | Texto            |    40 |      18
272 | ,             | Símbolo          |    40 |      23
273 | goleadores    | Palabra Normal   |    41 |       7
274 | :             | Símbolo          |    41 |      17
275 | [             | Símbolo          |    41 |      19
276 | goleador      | Palabra Normal   |    42 |       9
277 | :             | Símbolo          |    42 |      17
278 | "Javier Gómez" | Texto            |    42 |      19
279 | [             | Símbolo          |    42 |      34
280 | minuto        | Palabra Normal   |    42 |      35
281 | :             | Símbolo          |    42 |      41
282 | 15            | Número           |    42 |      43
283 | ]             | Símbolo          |    42 |      45
284 | ,             | Símbolo          |    42 |      46
285 | goleador      | Palabra Normal   |    43 |       9
286 | :             | Símbolo          |    43 |      17
287 | "Oscar Hernández" | Texto            |    43 |      19
288 | [             | Símbolo          |    43 |      37
289 | minuto        | Palabra Normal   |    43 |      38
290 | :             | Símbolo          |    43 |      44
291 | 43            | Número           |    43 |      46
292 | ]             | Símbolo          |    43 |      48
293 | ,             | Símbolo          |    43 |      49
294 | goleador      | Palabra Normal   |    44 |       9
295 | :             | Símbolo          |    44 |      17
296 | "Felipe Díaz" | Texto            |    44 |      19
297 | [             | Símbolo          |    44 |      33
298 | minuto        | Palabra Normal   |    44 |      34
299 | :             | Símbolo          |    44 |      40
300 | 55            | Número           |    44 |      42
301 | ]             | Símbolo          |    44 |      44
302 | ,             | Símbolo          |    44 |      45
303 | goleador      | Palabra Normal   |    45 |       9
304 | :             | Símbolo          |    45 |      17
305 | "Javier Gómez" | Texto            |    45 |      19
306 | [             | Símbolo          |    45 |      34
307 | minuto        | Palabra Normal   |    45 |      35
308 | :             | Símbolo          |    45 |      41
309 | 88            | Número           |    45 |      43
310 | ]             | Símbolo          |    45 |      45
311 | ]             | Símbolo          |    46 |       7
312 | ]             | Símbolo          |    47 |       5
313 | ]             | Símbolo          |    48 |       3
314 | ,             | Símbolo          |    48 |       4
315 | semifinal     | Palabra Reservada |    49 |       3
316 | :             | Símbolo          |    49 |      12
317 | [             | Símbolo          |    49 |      14
318 | partido       | Palabra Normal   |    50 |       5
319 | :             | Símbolo          |    50 |      12
320 | "Leones Dorados" | Texto            |    50 |      14
321 | vs            | Palabra Normal   |    50 |      31
322 | "Águilas Negras" | Texto            |    50 |      34
323 | [             | Símbolo          |    50 |      51
324 | resultado     | Palabra Normal   |    50 |      52
325 | :             | Símbolo          |    50 |      61
326 | "Pendiente"   | Texto            |    50 |      63
327 | ]             | Símbolo          |    50 |      74
328 | ]             | Símbolo          |    51 |       3
329 | }             | Símbolo          |    52 |       1

Total de tokens: 329

ERRORES
=======
✅ No se encontraron errores
